,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept),6.48298921,0.935913519,0.063039116,6.14194179,3.944245337,0.723747981,Navajo Nation: Water
(Intercept)1,6.03574529,0.982681392,0.071078014,5.943581288,3.837905398,0.71082391,Navajo Nation: Water
(Intercept)2,7.170540451,0.560127419,0.069446032,4.829681551,3.489442884,0.728594507,Navajo Nation: Water
(Intercept)3,7.27066952,0.573376007,0.07444758,5.000315299,3.959789656,0.722132472,Navajo Nation: Water
(Intercept)4,7.618000302,0.624024066,0.055208772,5.617178587,3.636617617,0.723747981,Navajo Nation: Water
(Intercept)5,5.683324065,0.89845662,0.069143662,5.142943205,3.522801763,0.693053312,Navajo Nation: Water
(Intercept)6,6.877624378,0.753711694,0.07189131,5.566958067,3.914855288,0.744749596,Navajo Nation: Water
(Intercept)7,6.880604053,0.677454704,0.061396261,5.164122829,3.548325312,0.709208401,Navajo Nation: Water
(Intercept)8,7.250563242,0.624158405,0.048328375,5.250456436,3.544911486,0.697899838,Navajo Nation: Water
(Intercept)9,6.358257618,0.872464216,0.063720114,5.679553632,3.515689906,0.705977383,Navajo Nation: Water
(Intercept)10,5.091352129,1.156004904,0.056520584,5.921559519,3.587796239,0.705977383,Navajo Nation: Water
(Intercept)11,7.861992651,0.568499302,0.044945358,5.565686192,3.51459467,0.71082391,Navajo Nation: Water
(Intercept)12,8.448007832,0.358755116,0.031355323,5.035510992,3.712226349,0.728594507,Navajo Nation: Water
(Intercept)13,7.413020117,0.552667727,0.060864181,5.032463163,3.995532177,0.720516963,Navajo Nation: Water
(Intercept)14,6.983612763,0.529092589,0.068956491,4.477596583,3.175411767,0.683360258,Navajo Nation: Water
(Intercept)15,6.078769068,0.860699643,0.058903105,5.337457849,3.449807343,0.694668821,Navajo Nation: Water
(Intercept)16,6.127316647,0.997255349,0.072519175,6.112710509,3.909368944,0.718901454,Navajo Nation: Water
(Intercept)17,6.983541012,0.714473808,0.067811561,5.464063426,4.083060541,0.712439418,Navajo Nation: Water
(Intercept)18,7.765378236,0.518232498,0.042489439,5.201568184,3.496706073,0.712439418,Navajo Nation: Water
(Intercept)19,7.969620615,0.521640265,0.037885345,5.423945592,3.872054645,0.71082391,Navajo Nation: Water
