,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept),7.681570008,0.497730789,0.046419277,5.019771475,3.589083057,0.725363489,Navajo Nation: Water
(Intercept)1,5.845094994,0.967276083,0.087794897,5.669829139,4.157603932,0.717285945,Navajo Nation: Water
(Intercept)2,8.354536635,0.433438413,0.031447092,5.250135525,3.93904033,0.714054927,Navajo Nation: Water
(Intercept)3,8.630879263,0.323286568,0.025700861,4.97705209,4.264441403,0.733441034,Navajo Nation: Water
(Intercept)4,5.683874974,1.0041347,0.086294596,5.705942059,3.732829507,0.714054927,Navajo Nation: Water
(Intercept)5,7.530655985,0.657457935,0.044947566,5.709517942,4.049347084,0.725363489,Navajo Nation: Water
(Intercept)6,8.366280008,0.448855115,0.035669875,5.357927815,4.113948958,0.733441034,Navajo Nation: Water
(Intercept)7,7.344649355,0.631383117,0.048702663,5.386487499,3.622685471,0.69628433,Navajo Nation: Water
(Intercept)8,6.972136364,0.674456532,0.052491754,5.198594891,3.886689751,0.707592892,Navajo Nation: Water
(Intercept)9,6.952139723,0.676611823,0.057767172,5.228815219,3.698139564,0.741518578,Navajo Nation: Water
(Intercept)10,8.112612459,0.488528265,0.036857383,5.324367272,3.52449083,0.741518578,Navajo Nation: Water
(Intercept)11,7.018603367,0.649411841,0.057879991,5.122844306,3.845778455,0.712439418,Navajo Nation: Water
(Intercept)12,7.954389365,0.474487217,0.044518684,5.184818083,4.015669347,0.704361874,Navajo Nation: Water
(Intercept)13,8.415980591,0.482221265,0.022539729,5.762187223,4.321332545,0.730210016,Navajo Nation: Water
(Intercept)14,8.359217987,0.445290213,0.033369022,5.453769668,4.030793532,0.746365105,Navajo Nation: Water
(Intercept)15,6.77425055,0.697527502,0.097280194,5.133172002,3.883719976,0.747980614,Navajo Nation: Water
(Intercept)16,8.260228477,0.392718777,0.029708595,5.063739143,3.95020869,0.71082391,Navajo Nation: Water
(Intercept)17,7.825151183,0.533283059,0.047583679,5.259679488,4.14239343,0.725363489,Navajo Nation: Water
