,Intercept,Slope,vector_MCresSE,vector_rsquare,scen
1,10.94280383,0.631506456,21.19967038,0.062617554,UNM water only
2,10.03971109,0.744582789,23.24862981,0.075740489,UNM water only
3,4.923357336,1.507989519,31.32135973,0.15115155,UNM water only
4,7.454604695,1.10281571,26.59854534,0.110588962,UNM water only
5,7.24870967,1.200055101,27.60813454,0.133355947,UNM water only
6,11.57941833,0.479748797,18.91136554,0.046534241,UNM water only
7,8.528626661,0.946309894,23.29697808,0.094457856,UNM water only
8,10.13434436,0.74764673,23.84614889,0.071376566,UNM water only
9,8.890182338,0.878398877,23.71953266,0.096982414,UNM water only
10,7.968492085,1.049574099,27.64872363,0.114971927,UNM water only
11,8.663917392,0.994532215,25.05097032,0.120716874,UNM water only
12,6.46764935,1.257114274,28.35791984,0.142706141,UNM water only
13,11.78967827,0.454862147,19.17304238,0.042721459,UNM water only
14,9.163627011,0.891335462,25.29619453,0.091266172,UNM water only
15,10.32809239,0.699170804,22.8786098,0.071542565,UNM water only
16,9.183229729,0.819088249,23.01354536,0.090823218,UNM water only
17,7.565714395,1.098987521,28.11035406,0.114830898,UNM water only
18,10.0479685,0.711523371,23.01689934,0.073407305,UNM water only
19,7.71951476,1.060216934,27.9715023,0.116469017,UNM water only
20,7.211580181,1.123526785,27.75905986,0.119784759,UNM water only
21,3.98354816,1.663694198,33.73566799,0.169367811,UNM water only
22,8.934337588,0.941944922,25.46122681,0.097452853,UNM water only
23,8.504603515,1.017900576,25.81594584,0.10534855,UNM water only
24,6.561660354,1.225517315,28.86043052,0.136539454,UNM water only
25,5.763184326,1.350133624,28.53300024,0.152846046,UNM water only
26,10.01627488,0.794033438,23.89330575,0.078557177,UNM water only
27,10.03445879,0.67651329,22.62181881,0.065714579,UNM water only
28,7.49544383,1.133246774,25.27538429,0.122482899,UNM water only
29,9.691075368,0.766372681,22.23453249,0.084194346,UNM water only
30,9.72264062,0.851219199,26.0682184,0.083059252,UNM water only
31,8.268458656,0.992977716,23.93257466,0.11096161,UNM water only
32,10.19403069,0.708963101,23.09140544,0.066212167,UNM water only
33,8.271779523,1.061874558,26.58032355,0.100505706,UNM water only
34,6.347921306,1.286721104,27.29059076,0.150801295,UNM water only
35,6.250914031,1.36278171,32.44960752,0.134797141,UNM water only
36,9.690334523,0.757173156,22.30907946,0.08572456,UNM water only
37,5.724860349,1.386832246,29.51713117,0.141442945,UNM water only
38,9.085661455,0.861681466,23.77774421,0.083243396,UNM water only
39,6.374529816,1.252178341,29.22410843,0.12259039,UNM water only
40,5.50876153,1.380209614,28.4367491,0.156768628,UNM water only
41,7.080621837,1.19207308,26.9074621,0.143026054,UNM water only
42,9.845678632,0.804806158,24.48574306,0.073693484,UNM water only
43,8.68183575,0.916136361,24.56338888,0.096263181,UNM water only
44,7.806727185,1.139309614,28.78060713,0.110566083,UNM water only
45,8.954167602,0.862155532,23.57359663,0.109538359,UNM water only
46,9.026030504,0.842399031,22.18790869,0.10334955,UNM water only
47,7.857706941,1.096161561,28.50524038,0.1225064,UNM water only
48,7.267968682,1.159060469,28.25794277,0.127176493,UNM water only
49,7.161055722,1.191007758,27.80843639,0.118135398,UNM water only
50,8.842998709,0.874209969,24.30030688,0.100098142,UNM water only
51,7.111454477,1.204432547,27.51425136,0.138591434,UNM water only
52,7.242196145,1.216413015,29.1813596,0.127846453,UNM water only
53,9.169106227,0.896230729,25.36165111,0.094586523,UNM water only
54,10.79265796,0.657115569,22.84142699,0.068801255,UNM water only
55,6.407206099,1.263334533,29.93765547,0.140353481,UNM water only
56,8.272897697,1.078864928,27.48159525,0.105402239,UNM water only
57,9.234225093,0.800163782,23.22811309,0.090508004,UNM water only
58,8.15846081,1.090764198,27.48597463,0.122300485,UNM water only
59,10.1337089,0.721907772,23.00457792,0.079646283,UNM water only
60,11.93340568,0.415488358,17.03120222,0.038971285,UNM water only
61,9.464386494,0.839841879,23.78403006,0.093231025,UNM water only
62,10.52848154,0.647961542,21.11048663,0.063923528,UNM water only
63,9.331509959,0.834523413,23.99728099,0.094497395,UNM water only
64,7.89853435,1.105995186,27.50969808,0.125532947,UNM water only
65,8.647910829,0.899692981,26.4604902,0.093870866,UNM water only
66,7.872907017,1.060292747,27.0983999,0.102711724,UNM water only
67,5.634016449,1.439345446,32.58944909,0.154243579,UNM water only
68,11.19688107,0.525058089,19.55194044,0.048318029,UNM water only
69,9.698031575,0.782638217,24.2121321,0.080483725,UNM water only
70,6.955781707,1.225632171,29.22894693,0.122031184,UNM water only
71,7.259869082,1.135202131,25.00366389,0.130516976,UNM water only
72,9.296877659,0.780943141,23.79280712,0.077408765,UNM water only
73,9.638015654,0.753335488,22.20433617,0.079446964,UNM water only
74,5.868590972,1.392467303,29.03617066,0.143431734,UNM water only
75,5.902441294,1.38829027,31.97614679,0.133206169,UNM water only
76,9.503135403,0.823009398,23.72846703,0.085475997,UNM water only
77,7.845998491,1.108644884,25.9549887,0.118535905,UNM water only
78,8.528626903,0.96505083,23.16077306,0.110912338,UNM water only
79,4.824813658,1.55621196,30.58878176,0.165701167,UNM water only
80,8.465419961,0.919303585,23.52253193,0.106894018,UNM water only
81,8.327230996,1.015084116,26.64004578,0.114252589,UNM water only
82,6.594719323,1.235860349,27.5864923,0.137761365,UNM water only
83,7.758959183,1.072968479,26.69077849,0.121050574,UNM water only
84,8.569784335,0.954689621,25.84840402,0.109729939,UNM water only
85,7.752685574,1.101899707,27.77615862,0.112530079,UNM water only
86,6.691758937,1.335710125,27.77587822,0.142361495,UNM water only
87,9.612384778,0.722791795,20.21509666,0.0772954,UNM water only
88,7.756736533,1.049326609,27.01911305,0.124345643,UNM water only
89,8.352438312,0.991902384,24.43422048,0.101704795,UNM water only
90,6.917875139,1.202010433,27.83549786,0.146132561,UNM water only
91,8.651550964,0.931867796,23.83371173,0.095936516,UNM water only
92,8.059100514,1.064099172,27.74863922,0.113114495,UNM water only
93,9.030851642,0.900982412,24.28180558,0.095461519,UNM water only
94,8.214798283,1.024464927,26.31518127,0.108124714,UNM water only
95,9.890614472,0.755728044,21.88306144,0.079684169,UNM water only
96,8.228464181,0.996219087,29.07003528,0.107377639,UNM water only
97,7.66078206,1.12676109,27.7237978,0.118765285,UNM water only
98,9.576027995,0.825141437,24.13068903,0.082180263,UNM water only
99,9.725117818,0.791576963,24.56970483,0.07853406,UNM water only
100,6.75839739,1.192144069,28.16781306,0.138911881,UNM water only
101,7.980400694,1.070911151,26.55274647,0.106943431,UNM water only
102,4.438783812,1.55526512,28.38185291,0.177695954,UNM water only
103,7.908618423,1.086478462,27.75103928,0.101868423,UNM water only
104,9.173351481,0.900140228,26.29134884,0.090901847,UNM water only
105,8.722280952,0.928356213,25.51954491,0.093943873,UNM water only
106,8.630833924,0.927302258,26.35079358,0.087421049,UNM water only
107,9.198100332,0.894666962,24.22009551,0.105283514,UNM water only
108,10.51858993,0.692743248,22.04387391,0.063383346,UNM water only
109,7.408093023,1.135641757,26.64550446,0.127446374,UNM water only
110,9.768129329,0.779623921,24.31521813,0.078447786,UNM water only
111,9.401078649,0.831510294,23.51606962,0.081541061,UNM water only
