"","intcpt","slp","rsq","scen"
"(Intercept)",159.200068133342,0.562177048188951,0.247085428396263,"HEALS primary water only"
"(Intercept)1",162.21944902869,0.550590617596354,0.240172940556008,"HEALS primary water only"
"(Intercept)2",158.805408493288,0.562577928092495,0.250710593062964,"HEALS primary water only"
"(Intercept)3",160.738112984729,0.551176290727037,0.242999255903111,"HEALS primary water only"
"(Intercept)4",160.17802378622,0.557108853122234,0.244766185883739,"HEALS primary water only"
"(Intercept)5",162.949260658832,0.552335532597091,0.243798000139793,"HEALS primary water only"
"(Intercept)6",161.999057943587,0.55800371619682,0.241858338862466,"HEALS primary water only"
"(Intercept)7",160.365378943388,0.548432180430191,0.247105213653554,"HEALS primary water only"
"(Intercept)8",159.678401466619,0.556749747229829,0.245559012490175,"HEALS primary water only"
"(Intercept)9",160.042367682497,0.555601044866058,0.247782554111422,"HEALS primary water only"
"(Intercept)10",161.479759650504,0.548350919654297,0.253982613514807,"HEALS primary water only"
"(Intercept)11",159.609721924324,0.55918803451586,0.248862564918564,"HEALS primary water only"
"(Intercept)12",162.903949271809,0.553163333558011,0.246474110150163,"HEALS primary water only"
"(Intercept)13",163.284773355311,0.542313897548473,0.247281858837457,"HEALS primary water only"
"(Intercept)14",161.17681829036,0.552512031130317,0.243946616451724,"HEALS primary water only"
"(Intercept)15",161.676335154902,0.556284936691359,0.246307524962629,"HEALS primary water only"
"(Intercept)16",160.228468077519,0.555227651256254,0.247248758820587,"HEALS primary water only"
"(Intercept)17",162.242821817648,0.547890036664148,0.246468256512282,"HEALS primary water only"
"(Intercept)18",158.905211315182,0.563850703724207,0.242031466575249,"HEALS primary water only"
"(Intercept)19",161.437467574778,0.551866650164102,0.250339173961236,"HEALS primary water only"
"(Intercept)20",159.18780786314,0.556938391352453,0.24643056741022,"HEALS primary water only"
"(Intercept)21",160.457556220128,0.559374342648285,0.250248846093808,"HEALS primary water only"
"(Intercept)22",163.136621965224,0.554602947215351,0.242539161808311,"HEALS primary water only"
"(Intercept)23",162.689527541446,0.546513402994346,0.245302062733794,"HEALS primary water only"
"(Intercept)24",163.810160412475,0.548619137643786,0.240130681655445,"HEALS primary water only"
"(Intercept)25",161.439897745966,0.552557968188556,0.249844118346214,"HEALS primary water only"
"(Intercept)26",160.564672548793,0.55328697287257,0.246232944857213,"HEALS primary water only"
"(Intercept)27",163.108268453409,0.546685847645987,0.239690397238766,"HEALS primary water only"
"(Intercept)28",161.109569290147,0.558569139531422,0.246372113824505,"HEALS primary water only"
"(Intercept)29",161.563620370121,0.553115963374413,0.251544576365949,"HEALS primary water only"
"(Intercept)30",161.668910877421,0.561578383888325,0.242912620218128,"HEALS primary water only"
"(Intercept)31",161.570308305101,0.550457482623811,0.245754679807187,"HEALS primary water only"
"(Intercept)32",164.372926323416,0.539189656617661,0.237984896494603,"HEALS primary water only"
"(Intercept)33",159.370763103815,0.557379894530531,0.249847343451985,"HEALS primary water only"
"(Intercept)34",162.499450487279,0.555736904424839,0.244528227352518,"HEALS primary water only"
"(Intercept)35",161.368794072571,0.558054469441225,0.23923501545189,"HEALS primary water only"
"(Intercept)36",161.086476986037,0.557417375481056,0.247622365693652,"HEALS primary water only"
"(Intercept)37",163.914539102721,0.541509801153184,0.241188885796932,"HEALS primary water only"
"(Intercept)38",162.627252809597,0.552194982721435,0.247219322071561,"HEALS primary water only"
"(Intercept)39",160.82895322761,0.557182478545945,0.244452040334319,"HEALS primary water only"
"(Intercept)40",159.185294372537,0.561052092997715,0.25094036603564,"HEALS primary water only"
"(Intercept)41",161.9535274363,0.553407372475438,0.240876735253165,"HEALS primary water only"
"(Intercept)42",158.916850285117,0.567578068583195,0.248736779830043,"HEALS primary water only"
"(Intercept)43",162.95424916184,0.547054093932356,0.243398688333662,"HEALS primary water only"
"(Intercept)44",160.072832786736,0.55337070363931,0.2512186266802,"HEALS primary water only"
"(Intercept)45",160.224053710112,0.563509091088414,0.246200983797417,"HEALS primary water only"
"(Intercept)46",160.948692227648,0.5539624321898,0.249546245919887,"HEALS primary water only"
"(Intercept)47",164.758922395715,0.544948433809183,0.250695150935767,"HEALS primary water only"
"(Intercept)48",162.028356726425,0.549284026805375,0.243581431182444,"HEALS primary water only"
"(Intercept)49",161.395204578347,0.564157215926356,0.246457645274901,"HEALS primary water only"
"(Intercept)50",163.682667647168,0.549142090906988,0.247739978474615,"HEALS primary water only"
"(Intercept)51",160.728761711118,0.555065587837127,0.2452032437193,"HEALS primary water only"
"(Intercept)52",162.625211730973,0.549543448107913,0.245246610878174,"HEALS primary water only"
"(Intercept)53",161.64088041007,0.556140348665505,0.246786927644024,"HEALS primary water only"
"(Intercept)54",161.016246757021,0.555179716998211,0.240877108929827,"HEALS primary water only"
"(Intercept)55",160.913604024565,0.561310868106493,0.24324433044352,"HEALS primary water only"
"(Intercept)56",163.76818016821,0.548144445426415,0.243062357235786,"HEALS primary water only"
"(Intercept)57",161.420822157838,0.555043207138741,0.24124022539404,"HEALS primary water only"
"(Intercept)58",158.548582744669,0.55849344165228,0.243500477161657,"HEALS primary water only"
"(Intercept)59",161.961900871735,0.556409955592036,0.24258672155595,"HEALS primary water only"
"(Intercept)60",158.464982033864,0.564870466189484,0.252501303081193,"HEALS primary water only"
"(Intercept)61",161.466090361835,0.554387747678323,0.241376792728827,"HEALS primary water only"
